bin_center,tp,fp,tn,fn,test_sig_hist,test_bkg_hist,train_sig_hist,train_bkg_hist,sig,acc
0.0033335115,1903.0,2562.641211235082,0.0,0.0,0.0,7.315574563694414,0.0,28.924928022238408,28.47717307546648,0.4261426097583148
0.01000001,1903.0,2555.325636671388,7.315574563694414,0.0,0.0,13.868690530478865,2.0,57.79648354466341,28.50052730193949,0.42778080105440214
0.01666651,1903.0,2541.4569461409096,21.184265094173277,0.0,1.0,20.202232928727987,4.0,87.41047379272365,28.544959853230562,0.43088644476254123
0.023333006,1902.0,2521.2547132121817,41.386498022901264,1.0,0.0,27.994560965834427,2.0,111.04466890353946,28.5982552531989,0.43518643932556555
0.029999506,1902.0,2493.260152246347,69.38105898873569,1.0,1.0,35.41014308062585,3.0,142.71632513577677,28.689185575355616,0.44145531755416195
0.036666006,1901.0,2457.850009165721,104.79120206936153,2.0,3.0,42.735523824875685,8.0,174.14435051328485,28.793612414949774,0.4491608499632712
0.043332502,1898.0,2415.114485340845,147.52672589423722,5.0,2.0,52.60021592958191,14.0,214.89279071230044,28.900191138868344,0.45805890557170326
0.049999,1896.0,2362.5142694112637,200.12694182381912,7.0,6.0,73.09098987291668,11.0,286.297709225391,29.05422393959597,0.4693899134910759
0.0566655,1890.0,2289.423279538347,273.21793169673583,13.0,7.0,71.72829561091832,21.0,282.5517533963155,29.235035495032363,0.48441373352035255
0.063332,1883.0,2217.6949839274284,344.94622730765417,20.0,6.0,63.31018161688955,20.0,255.59688820005803,29.4050272715033,0.4989084706810696
0.069998495,1877.0,2154.3848023105393,408.25640892454373,26.0,2.0,65.23555598337366,12.0,245.39877665342516,29.562226863729297,0.5117420546852443
0.07666499,1875.0,2089.149246327165,473.4919649079174,28.0,3.0,62.63948476643152,18.0,259.4219415266324,29.780108356520856,0.5259025196648937
0.083331496,1872.0,2026.509761560734,536.1314496743489,31.0,3.0,65.69399271057432,19.0,259.0015857305688,29.981719133252117,0.5392577091987919
0.08999799,1869.0,1960.8157688501597,601.8254423849232,34.0,6.0,55.82403787400359,16.0,239.18163771050112,30.20093300203219,0.5532969008277213
0.09666449,1863.0,1904.9917309761558,657.6494802589268,40.0,4.0,54.049387683696075,26.0,224.72732324763516,30.3499433219978,0.5644540976371407
0.103330985,1859.0,1850.94234329246,711.6988679426229,44.0,2.0,51.594959311117094,31.0,207.2511982766521,30.52079273709838,0.5756617574817734
0.10999749,1857.0,1799.3473839813428,763.2938272537399,46.0,9.0,51.50702010683165,24.0,202.34105880893787,30.710591299708728,0.5867676562687922
0.116663985,1848.0,1747.8403638745112,814.8008473605715,55.0,4.0,48.53181504118928,28.0,194.60356580843722,30.817809433960857,0.5962863386026725
0.12333048,1844.0,1699.3085488333218,863.3326624017608,59.0,3.0,46.83170457836055,22.0,188.5038261946151,30.978217931358717,0.6062584373304325
0.12999699,1841.0,1652.4768442549612,910.1643669801214,62.0,10.0,46.4024444494651,17.0,186.84154130646522,31.147619020284917,0.6160737589169685
0.13666347,1831.0,1606.0743998054961,956.5668114295864,72.0,6.0,45.65714286400375,21.0,184.42700759427714,31.231574397310553,0.6242254313706086
0.14332998,1825.0,1560.4172569414925,1002.2239542935902,78.0,11.0,44.032050669038846,30.0,174.42190842053466,31.36582874848409,0.633105934973144
0.14999649,1814.0,1516.3852062724534,1046.256004962629,89.0,6.0,44.40789593305594,24.0,176.27513194006707,31.433305130792068,0.6405028683823784
0.15666297,1808.0,1471.9773103393975,1090.663900895685,95.0,5.0,43.51803019880278,23.0,169.74494426197637,31.569158560055055,0.649103625612141
0.16332948,1803.0,1428.4592801405947,1134.181931094488,100.0,8.0,40.80862556661195,25.0,162.1200014573101,31.71731262361227,0.6577290454290972
0.16999596,1795.0,1387.6506545739826,1174.9905566610998,108.0,2.0,37.7896325517668,29.0,153.33634924066226,31.817786809472466,0.6650759468066795
0.17666247,1793.0,1349.861022022216,1212.7801892128666,110.0,8.0,38.41079142562245,27.0,151.44265199927955,31.982889760756954,0.6730903910620137
0.18332896,1785.0,1311.4502305965932,1251.190980638489,118.0,5.0,36.27703138025577,25.0,151.07344732085846,32.07791767418209,0.6799003406274003
0.18999547,1780.0,1275.1731992163377,1287.4680120187447,123.0,6.0,37.03099759627136,24.0,145.9683791294546,32.2034265486434,0.6869042690445705
0.19666198,1774.0,1238.142201620066,1324.4990096150161,129.0,8.0,33.53498462796949,28.0,134.96974970706663,32.32331392226861,0.6938531026226468
0.20332846,1766.0,1204.6072169920967,1358.0339942429855,137.0,6.0,33.47209313712247,31.0,135.24647215067762,32.4017213875139,0.69957120298497
0.20999497,1760.0,1171.1351238549744,1391.506087380108,143.0,5.0,30.966325554875155,29.0,131.8112463148309,32.508336606022574,0.70572308394397
0.21666145,1755.0,1140.1687983000993,1422.4724129349834,148.0,11.0,34.06888261582627,30.0,132.7060029072615,32.616711780525996,0.7115377753458557
0.22332796,1744.0,1106.099915684273,1456.5412955508095,159.0,8.0,31.184876383504474,29.0,129.15027832737766,32.66754048146882,0.7167036365345664
0.22999445,1736.0,1074.9150393007685,1487.726171934314,167.0,6.0,31.31177116273411,27.0,125.10617521952906,32.74355740199785,0.7218954724404995
0.23666096,1730.0,1043.6032681380343,1519.0379430970481,173.0,9.0,30.228389039920952,33.0,125.96751719903345,32.84913461839711,0.7275635881635119
0.24332745,1721.0,1013.3748790981135,1549.2663321369691,182.0,4.0,29.45947416346422,34.0,121.11020808301305,32.91181571423884,0.7323173039314765
0.24999395,1717.0,983.9154049346492,1578.7258063004333,186.0,6.0,27.848350786557475,31.0,114.37468366318677,33.03808028462857,0.7380184950839164
0.25666046,1711.0,956.0670541480918,1606.5741570869907,192.0,8.0,26.653322216924856,22.0,107.67306492681558,33.13088539670341,0.742911040130211
0.26332694,1703.0,929.4137319311668,1633.2274793039155,200.0,5.0,26.192720625473328,26.0,103.40153405892396,33.19231735337558,0.7470881160157513
0.26999345,1698.0,903.2210113056935,1659.420199929389,205.0,7.0,26.040238813392822,25.0,105.85916920399691,33.29270320886079,0.751833844484074
0.27665997,1691.0,877.1807724923008,1685.4604387427817,212.0,2.0,24.927751546261476,25.0,100.28482923965115,33.36804884082536,0.7560975633796918
0.28332645,1689.0,852.2530209460393,1710.3881902890432,214.0,7.0,25.85456676334378,32.0,104.84009862064164,33.504697066911596,0.7612318208047124
0.28999293,1682.0,826.3984541826956,1736.242757052387,221.0,9.0,24.70893328844137,26.0,104.64218538681834,33.5836371687672,0.7654539617854763
0.29665944,1673.0,801.6895208942542,1760.9516903408285,230.0,7.0,24.66819213508046,36.0,97.90457724642488,33.63067478328396,0.768971694748196
0.30332595,1666.0,777.0213287591738,1785.619882475909,237.0,8.0,24.542751329372543,36.0,97.29183168490665,33.706322189877014,0.7729281684771264
0.30999243,1658.0,752.4785774298011,1810.1626338052815,245.0,5.0,22.20122835213273,23.0,93.86084304599079,33.770142104101105,0.7766326199874163
0.3166589,1653.0,730.2773490776684,1832.3638621574144,250.0,13.0,20.490094400060087,23.0,88.83267968821733,33.85989140075067,0.7804845255791277
0.32332546,1640.0,709.7872546776082,1852.8539565574742,263.0,9.0,20.318925835294614,27.0,83.27262903959861,33.832148322864974,0.7821617974524737
0.32999194,1631.0,689.4683288423137,1873.1728823927688,272.0,6.0,19.991005925396777,30.0,79.25515724824582,33.858377157255156,0.7846964672344565
0.33665842,1625.0,669.4773229169168,1893.1638883181656,278.0,4.0,19.924551646483287,33.0,75.06432714172831,33.92434572087048,0.7878295012744948
0.34332493,1621.0,649.5527712704337,1913.0884399646488,282.0,6.0,17.563629351315015,45.0,73.1706208708823,34.01866095036427,0.7913955180889264
0.34999144,1615.0,631.9891419191185,1930.652069315964,288.0,10.0,17.970600215730236,33.0,73.11745098303831,34.069992641746914,0.7939849848204278
0.35665792,1605.0,614.0185417033885,1948.622669531694,298.0,7.0,17.83135057206531,31.0,71.65033450554265,34.07176025502418,0.7957698573255626
0.3633244,1598.0,596.1871911313231,1966.4540201037594,305.0,11.0,17.125510450548692,25.0,66.9202689164396,34.11457280363232,0.7981953434001748
0.36999094,1587.0,579.0616806807743,1983.5795305543081,316.0,6.0,16.940759288620022,30.0,67.97034719307895,34.09899011872837,0.7995670412506732
0.37665743,1581.0,562.1209213921543,2000.520289842928,322.0,8.0,16.303930534066133,28.0,62.935055619716,34.15140158373327,0.8020170274387921
0.3833239,1573.0,545.8169908580882,2016.8242203769942,330.0,12.0,14.021148973309089,30.0,57.65002827255971,34.17291286257925,0.8038765432711824
0.38999042,1561.0,531.7958418847792,2030.8453693503031,342.0,12.0,13.837266710515134,31.0,58.00994840493325,34.12239226077368,0.804329143217686
0.39665693,1549.0,517.9585751742641,2044.6826360608184,354.0,7.0,13.96169621807319,26.0,55.555498839713835,34.07105105944613,0.8047405660399881
0.4033234,1542.0,503.99687895619087,2058.6443322788914,361.0,7.0,12.623319104914906,33.0,55.39721425953583,34.09038376817679,0.8062995126478253
0.4099899,1535.0,491.3735598512759,2071.2676513838064,368.0,7.0,12.7821290878123,16.0,50.622844114202465,34.09954818999889,0.8075587537822826
0.41665643,1528.0,478.59143076346356,2084.0497804716188,375.0,6.0,12.640339829828148,29.0,48.50711679650345,34.11095493364607,0.8088535575549782
0.42332292,1522.0,465.9510909336355,2096.6901203014468,381.0,6.0,12.38293250061992,27.0,46.29715707588157,34.13593514685099,0.8103405421817597
0.4299894,1516.0,453.5681584330156,2109.0730528020667,387.0,8.0,11.220418943902965,33.0,45.84760367654449,34.159672164276735,0.8117698850686358
0.4366559,1508.0,442.34773948911266,2120.29347174597,395.0,7.0,11.141252057419855,27.0,43.42893269400068,34.14643085413482,0.8124910399468649
0.44332242,1501.0,431.2064874316928,2131.4347238033897,402.0,8.0,10.81043770403937,27.0,40.60217852878811,34.14710769636072,0.8134183988325275
0.4499889,1493.0,420.39604972765335,2142.245161507429,410.0,5.0,10.262345332134588,24.0,42.52473528482013,34.13165689010354,0.8140477457887874
0.45665538,1488.0,410.1337043955188,2152.5075068395636,415.0,5.0,10.934871020754203,32.0,40.397201647459674,34.15383931059358,0.8152261533417486
0.46332192,1483.0,399.19883337476455,2163.4423778603177,420.0,5.0,10.02083488011105,23.0,39.85225148028182,34.18286037550663,0.8165551609220761
0.4699884,1478.0,389.1779984946535,2173.463212740429,425.0,5.0,9.770057834606847,27.0,38.01625097967508,34.20436824430043,0.8176794865547488
0.4766549,1473.0,379.40794066004673,2183.2332705750355,430.0,7.0,8.741293913866189,32.0,35.37018986249156,34.224288628639776,0.8187476551802545
0.4833214,1466.0,370.6666467461805,2191.9745644889017,437.0,8.0,8.75545039091053,22.0,34.763760600843156,34.20730032655954,0.8191375866215636
0.4899879,1458.0,361.91119635527,2200.730014879812,445.0,7.0,9.068864854020081,30.0,34.72353917396895,34.17688094547582,0.8193067561439628
0.4966544,1451.0,352.84233150124993,2209.798879733832,452.0,8.0,8.196677960322967,26.0,33.86452104448917,34.16395374517144,0.8197700412034106
0.5033209,1443.0,344.6456535409269,2217.995557694155,460.0,8.0,7.6289566312627635,28.0,32.62465601946707,34.12916102603086,0.8198140836938436
0.50998735,1435.0,337.0166969096642,2225.6245143254177,468.0,6.0,7.187683019335598,37.0,31.566342287883117,34.089293156836,0.8197309952075131
0.5166539,1429.0,329.8290138903286,2232.8121973447533,474.0,8.0,8.777108247478159,32.0,32.84675102430285,34.07378809496283,0.8199969554499856
0.52332044,1421.0,321.0519056428504,2241.5893055922315,482.0,10.0,6.991946359361148,27.0,30.45804882035045,34.04579912681997,0.8201709748596783
0.52998686,1411.0,314.0599592834893,2248.5812519515925,492.0,7.0,8.453536178780755,29.0,29.77166050295558,33.97229732430966,0.819497375370075
0.5366534,1404.0,305.60642310470854,2257.034788130374,499.0,4.0,7.185197796880758,29.0,30.27975151102593,33.95619644183057,0.8198228686441706
0.5433199,1400.0,298.42122530782774,2264.219985927255,503.0,5.0,6.982290627122876,32.0,29.425412083846886,33.97076534106052,0.8205361363802501
0.54998636,1395.0,291.4389346807049,2271.202276554378,508.0,5.0,6.905319313319185,28.0,26.80053860328298,33.969479900053464,0.8209800346992946
0.5566529,1390.0,284.53361536738566,2278.107595867697,513.0,9.0,6.201372223502453,30.0,29.192574761350425,33.96783483824289,0.8214066966775398
0.5633194,1381.0,278.33224314388326,2284.3089680911994,522.0,8.0,6.665587958548418,28.0,27.314475739383575,33.90213137340779,0.8207799943420596
